ofID1	ofID2	genome1	genome2	chr1	chr2	start1	end1	start2	end2	isAnchor	record_type
SimB_region_0241	SimC_region_0241	SimB	SimC	7	1	470651	1512151	577186	2281283	TRUE	simulated_interval
SimB_region_0242	SimC_region_0242	SimB	SimC	7	7	3009119	4166264	2419589	3426541	TRUE	simulated_interval
SimB_region_0243	SimC_region_0243	SimB	SimC	7	7	5082917	6243396	4223143	5234239	TRUE	simulated_interval
SimB_region_0244	SimC_region_0244	SimB	SimC	7	7	7504808	8551321	6436577	7343220	TRUE	simulated_interval
SimB_region_0245	SimC_region_0245	SimB	SimC	7	7	9815878	10513057	8244140	8849635	TRUE	simulated_interval
SimB_region_0246	SimC_region_0246	SimB	SimC	7	7	12239113	13282566	10449478	11360327	TRUE	simulated_interval
SimB_region_0247	SimC_region_0247	SimB	SimC	7	1	14199536	14782717	23831592	24785006	TRUE	simulated_interval
SimB_region_0248	SimC_region_0248	SimB	SimC	7	7	16742206	17898415	14366728	15377434	TRUE	simulated_interval
SimB_region_0249	SimC_region_0249	SimB	SimC	8	8	417667	1437358	273057	1163849	TRUE	simulated_interval
SimB_region_0250	SimC_region_0250	SimB	SimC	8	8	2448902	3473585	2219147	3113132	TRUE	simulated_interval
SimB_region_0251	SimC_region_0251	SimB	SimC	8	8	4387750	5204377	3816238	4530792	TRUE	simulated_interval
SimB_region_0252	SimC_region_0252	SimB	SimC	8	8	6321128	7138792	5586898	6302868	TRUE	simulated_interval
SimB_region_0253	SimC_region_0253	SimB	SimC	8	8	8659372	9276830	7449913	7986340	TRUE	simulated_interval
SimB_region_0254	SimC_region_0254	SimB	SimC	8	2	10493357	11414868	17827808	19376931	TRUE	simulated_interval
SimB_region_0255	SimC_region_0255	SimB	SimC	8	8	12530313	13043849	10816246	11264679	TRUE	simulated_interval
SimB_region_0256	SimC_region_0256	SimB	SimC	8	8	14667385	15690943	12678049	13568377	TRUE	simulated_interval
SimB_region_0257	SimD_region_0257	SimB	SimD	1	1	1308035	2402113	1398573	2557082	TRUE	simulated_interval
SimB_region_0258	SimD_region_0258	SimB	SimD	1	1	5655825	7834189	6021682	8341358	TRUE	simulated_interval
SimB_region_0259	SimD_region_0259	SimB	SimD	1	1	9565497	10658868	10415980	11580553	TRUE	simulated_interval
SimB_region_0260	SimD_region_0260	SimB	SimD	1	1	13480545	15004528	14814478	16439346	TRUE	simulated_interval
SimB_region_0261	SimD_region_0261	SimB	SimD	1	1	18043266	20002038	19673224	21760881	TRUE	simulated_interval
SimB_region_0262	SimD_region_0262	SimB	SimD	1	3	22169079	23478566	19178842	20313283	TRUE	simulated_interval
SimB_region_0263	SimD_region_0263	SimB	SimD	1	1	27167981	28910642	29161071	31015723	TRUE	simulated_interval
SimB_region_0264	SimD_region_0264	SimB	SimD	1	1	31293208	32387170	33096378	34254918	TRUE	simulated_interval
SimB_region_0265	SimD_region_0265	SimB	SimD	2	2	992931	2374868	1056840	2528075	TRUE	simulated_interval
SimB_region_0266	SimD_region_0266	SimB	SimD	2	2	4732421	6509887	5042521	6931208	TRUE	simulated_interval
SimB_region_0267	SimD_region_0267	SimB	SimD	2	2	8672904	9660377	8810785	9866629	TRUE	simulated_interval
SimB_region_0268	SimD_region_0268	SimB	SimD	2	2	12807073	14583019	13636184	15527799	TRUE	simulated_interval
SimB_region_0269	SimD_region_0269	SimB	SimD	2	4	16744354	18521132	13971439	15475736	TRUE	simulated_interval
SimB_region_0270	SimD_region_0270	SimB	SimD	2	2	20288817	21671623	21601274	23076025	TRUE	simulated_interval
SimB_region_0271	SimD_region_0271	SimB	SimD	2	2	24621836	26003547	25795581	27269484	TRUE	simulated_interval
SimB_region_0272	SimD_region_0272	SimB	SimD	2	2	28561291	29941660	29782244	31253270	TRUE	simulated_interval
SimB_region_0273	SimD_region_0273	SimB	SimD	3	3	1066634	2659925	762265	2455673	TRUE	simulated_interval
SimB_region_0274	SimD_region_0274	SimB	SimD	3	3	4421855	6190491	4329293	6215170	TRUE	simulated_interval
SimB_region_0275	SimD_region_0275	SimB	SimD	3	3	8130110	9014943	8468639	9410742	TRUE	simulated_interval
SimB_region_0276	SimD_region_0276	SimB	SimD	3	5	11658740	13251623	9572778	10942415	TRUE	simulated_interval
SimB_region_0277	SimD_region_0277	SimB	SimD	3	3	14481509	15899547	15418976	16929736	TRUE	simulated_interval
SimB_region_0278	SimD_region_0278	SimB	SimD	3	3	18189595	19959698	19556513	21441132	TRUE	simulated_interval
SimB_region_0279	SimD_region_0279	SimB	SimD	3	3	22071981	23666792	23502914	25200629	TRUE	simulated_interval
SimB_region_0280	SimD_region_0280	SimB	SimD	3	3	25782661	26667774	27451636	28396201	TRUE	simulated_interval
SimB_region_0281	SimD_region_0281	SimB	SimD	4	4	789065	2041962	337253	1674767	TRUE	simulated_interval
SimB_region_0282	SimD_region_0282	SimB	SimD	4	4	3912510	4852679	3829308	4834025	TRUE	simulated_interval
SimB_region_0283	SimD_region_0283	SimB	SimD	4	6	7032356	7819547	5916211	6604604	TRUE	simulated_interval
SimB_region_0284	SimD_region_0284	SimB	SimD	4	4	9841889	10786415	10978845	11983925	TRUE	simulated_interval
SimB_region_0285	SimD_region_0285	SimB	SimD	4	4	13121171	14221736	14306617	15475736	TRUE	simulated_interval
SimB_region_0286	SimD_region_0286	SimB	SimD	4	4	15936849	17032453	17631309	18801270	TRUE	simulated_interval
SimB_region_0287	SimD_region_0287	SimB	SimD	4	4	19523407	20311623	20457838	21295421	TRUE	simulated_interval
SimB_region_0288	SimD_region_0288	SimB	SimD	4	4	22337419	23278491	24115413	25119786	TRUE	simulated_interval
SimB_region_0289	SimD_region_0289	SimB	SimD	5	5	717333	1865358	21868752	23087321	TRUE	simulated_interval
SimB_region_0290	SimD_region_0290	SimB	SimD	5	7	3428671	4288981	15118850	15863585	TRUE	simulated_interval
SimB_region_0291	SimD_region_0291	SimB	SimD	5	5	5997530	7282868	15946458	17318491	TRUE	simulated_interval
SimB_region_0292	SimD_region_0292	SimB	SimD	5	5	9276724	10134189	12913331	13826830	TRUE	simulated_interval
SimB_region_0293	SimD_region_0293	SimB	SimD	5	5	11984960	12985509	9875540	10942415	TRUE	simulated_interval
SimB_region_0294	SimD_region_0294	SimB	SimD	5	5	14692117	15836830	6687748	7906189	TRUE	simulated_interval
SimB_region_0295	SimD_region_0295	SimB	SimD	5	5	17829923	18545585	3651202	4414528	TRUE	simulated_interval
SimB_region_0296	SimD_region_0296	SimB	SimD	5	7	20822452	21682038	376780	1117925	TRUE	simulated_interval
SimB_region_0297	SimD_region_0297	SimB	SimD	6	8	782294	2075698	550598	1638226	TRUE	simulated_interval
SimB_region_0298	SimD_region_0298	SimB	SimD	6	6	2843694	3752453	3580663	4544415	TRUE	simulated_interval
SimB_region_0299	SimD_region_0299	SimB	SimD	6	6	5683059	6976981	5916211	7291333	TRUE	simulated_interval
SimB_region_0300	SimD_region_0300	SimB	SimD	6	6	8390487	9427623	8523673	9626214	TRUE	simulated_interval
SimB_region_0301	SimD_region_0301	SimB	SimD	6	6	10843816	11749283	11821205	12785170	TRUE	simulated_interval
SimB_region_0302	SimD_region_0302	SimB	SimD	6	6	13166436	14070943	14429947	15394742	TRUE	simulated_interval
SimB_region_0303	SimD_region_0303	SimB	SimD	6	8	16003083	17037509	13449334	14322792	TRUE	simulated_interval
SimB_region_0304	SimD_region_0304	SimB	SimD	6	6	18449795	19617132	20061640	21300616	TRUE	simulated_interval
SimB_region_0305	SimD_region_0305	SimB	SimD	7	7	236052	1165962	500898	1486566	TRUE	simulated_interval
SimB_region_0306	SimD_region_0306	SimB	SimD	7	7	2545886	3127698	2708416	3329774	TRUE	simulated_interval
SimB_region_0307	SimD_region_0307	SimB	SimD	7	7	5082917	5666415	5412748	6033145	TRUE	simulated_interval
SimB_region_0308	SimD_region_0308	SimB	SimD	7	7	7626308	8435925	7873584	8736516	TRUE	simulated_interval
SimB_region_0309	SimD_region_0309	SimB	SimD	7	7	9928538	10974642	10452026	11562767	TRUE	simulated_interval
SimB_region_0310	SimD_region_0310	SimB	SimD	7	1	12239113	12936377	23837069	25231447	TRUE	simulated_interval
SimB_region_0311	SimD_region_0311	SimB	SimD	7	7	14430372	15359698	15118850	16109346	TRUE	simulated_interval
SimB_region_0312	SimD_region_0312	SimB	SimD	7	7	16742206	17552226	17578537	18444075	TRUE	simulated_interval
SimB_region_0313	SimD_region_0313	SimB	SimD	8	8	516716	1437358	550598	1529811	TRUE	simulated_interval
SimB_region_0314	SimD_region_0314	SimB	SimD	8	8	2653810	3575396	2720789	3698113	TRUE	simulated_interval
SimB_region_0315	SimD_region_0315	SimB	SimD	8	8	4285338	5000755	4993310	5758000	TRUE	simulated_interval
SimB_region_0316	SimD_region_0316	SimB	SimD	8	8	6523423	7342415	6835657	7709472	TRUE	simulated_interval
SimB_region_0317	SimD_region_0317	SimB	SimD	8	2	8457606	9073208	17826485	19092239	TRUE	simulated_interval
SimB_region_0318	SimD_region_0318	SimB	SimD	8	8	10493357	11516679	11282858	12371321	TRUE	simulated_interval
SimB_region_0319	SimD_region_0319	SimB	SimD	8	8	12430293	13145660	13449334	14214377	TRUE	simulated_interval
SimB_region_0320	SimD_region_0320	SimB	SimD	8	8	14566541	15283698	15399563	16165849	TRUE	simulated_interval
SimC_region_0321	SimD_region_0321	SimC	SimD	1	1	577186	2281283	1163733	3251195	TRUE	simulated_interval
SimC_region_0322	SimD_region_0322	SimC	SimD	1	1	4166718	5306994	5557719	6953132	TRUE	simulated_interval
SimC_region_0323	SimD_region_0323	SimC	SimD	1	1	7946578	9467346	10652435	12506038	TRUE	simulated_interval
SimC_region_0324	SimD_region_0324	SimC	SimD	1	1	11733712	13060377	14581894	16207975	TRUE	simulated_interval
SimC_region_0325	SimD_region_0325	SimC	SimD	1	3	15702550	17409836	15418976	17117711	TRUE	simulated_interval
SimC_region_0326	SimD_region_0326	SimC	SimD	1	1	19674043	21570189	23608612	25925560	TRUE	simulated_interval
SimC_region_0327	SimD_region_0327	SimC	SimD	1	1	23079199	24974113	28465159	30784352	TRUE	simulated_interval
SimC_region_0328	SimD_region_0328	SimC	SimD	1	1	27428579	28756252	33096378	34717660	TRUE	simulated_interval
SimC_region_0329	SimD_region_0329	SimC	SimD	2	2	519722	2239824	1264559	3366767	TRUE	simulated_interval
SimC_region_0330	SimD_region_0330	SimC	SimD	2	2	4292226	5667245	4620781	6302189	TRUE	simulated_interval
SimC_region_0331	SimD_region_0331	SimC	SimD	2	2	7888427	8923296	9652519	10914994	TRUE	simulated_interval
SimC_region_0332	SimD_region_0332	SimC	SimD	2	4	10971748	12007975	10318965	11318818	TRUE	simulated_interval
SimC_region_0333	SimD_region_0333	SimC	SimD	2	2	14572210	15435396	18038727	19092239	TRUE	simulated_interval
SimC_region_0334	SimD_region_0334	SimC	SimD	2	2	17658783	19034189	21601274	23285698	TRUE	simulated_interval
SimC_region_0335	SimD_region_0335	SimC	SimD	2	2	21427547	22461610	26213693	27479157	TRUE	simulated_interval
SimC_region_0336	SimD_region_0336	SimC	SimD	2	2	24857563	25717660	30616909	31672616	TRUE	simulated_interval
SimC_region_0337	SimD_region_0337	SimC	SimD	3	3	778264	2162893	1138061	2831623	TRUE	simulated_interval
SimC_region_0338	SimD_region_0338	SimC	SimD	3	3	3543619	4774692	4329293	5839220	TRUE	simulated_interval
SimC_region_0339	SimD_region_0339	SimC	SimD	3	5	6767325	7540126	6987387	7754377	TRUE	simulated_interval
SimC_region_0340	SimD_region_0340	SimC	SimD	3	3	9991804	11381006	12040768	13734164	TRUE	simulated_interval
SimC_region_0341	SimD_region_0341	SimC	SimD	3	3	13218705	14146440	15987827	17117711	TRUE	simulated_interval
SimC_region_0342	SimD_region_0342	SimC	SimD	3	3	15830415	16758239	19368619	20501258	TRUE	simulated_interval
SimC_region_0343	SimD_region_0343	SimC	SimD	3	3	18904647	20291849	23318203	25012654	TRUE	simulated_interval
SimC_region_0344	SimD_region_0344	SimC	SimD	3	3	21824774	22750013	27073507	28208226	TRUE	simulated_interval
SimC_region_0345	SimD_region_0345	SimC	SimD	4	4	414623	1506893	23782172	25119786	TRUE	simulated_interval
SimC_region_0346	SimD_region_0346	SimC	SimD	4	6	3270209	4360780	16762234	17866969	TRUE	simulated_interval
SimC_region_0347	SimD_region_0347	SimC	SimD	4	4	5715234	6535170	17631309	18634994	TRUE	simulated_interval
SimC_region_0348	SimD_region_0348	SimC	SimD	4	4	8571505	9253157	13639137	14478075	TRUE	simulated_interval
SimC_region_0349	SimD_region_0349	SimC	SimD	4	4	11556609	12922440	10818261	12482755	TRUE	simulated_interval
SimC_region_0350	SimD_region_0350	SimC	SimD	4	4	14004210	15096830	6987828	8325836	TRUE	simulated_interval
SimC_region_0351	SimD_region_0351	SimC	SimD	4	4	16589979	17814818	3829308	5332855	TRUE	simulated_interval
SimC_region_0352	SimD_region_0352	SimC	SimD	4	6	19574306	20396906	280302	1110767	TRUE	simulated_interval
SimC_region_0353	SimD_region_0353	SimC	SimD	5	7	256445	1252755	624070	1609447	TRUE	simulated_interval
SimC_region_0354	SimD_region_0354	SimC	SimD	5	5	3112028	3982415	3955201	5021774	TRUE	simulated_interval
SimC_region_0355	SimD_region_0355	SimC	SimD	5	5	5217952	6091698	6687748	7754377	TRUE	simulated_interval
SimC_region_0356	SimD_region_0356	SimC	SimD	5	5	7699879	8821358	10026946	11397849	TRUE	simulated_interval
SimC_region_0357	SimD_region_0357	SimC	SimD	5	5	10555248	11551019	12452693	13675019	TRUE	simulated_interval
SimC_region_0358	SimD_region_0358	SimC	SimD	5	5	12665199	13288075	15643193	16407623	TRUE	simulated_interval
SimC_region_0359	SimD_region_0359	SimC	SimD	5	7	15517311	16514038	15242752	16232226	TRUE	simulated_interval
SimC_region_0360	SimD_region_0360	SimC	SimD	5	5	17625956	18871472	21563943	23087321	TRUE	simulated_interval
SimC_region_0361	SimD_region_0361	SimC	SimD	6	6	681255	1359019	280302	1110767	TRUE	simulated_interval
SimC_region_0362	SimD_region_0362	SimC	SimD	6	6	2590098	3267296	3164867	3995031	TRUE	simulated_interval
SimC_region_0363	SimD_region_0363	SimC	SimD	6	6	5170954	5736830	6191006	6879296	TRUE	simulated_interval
SimC_region_0364	SimD_region_0364	SimC	SimD	6	6	7188544	7757358	8661372	9351522	TRUE	simulated_interval
SimC_region_0365	SimD_region_0365	SimC	SimD	6	6	9659945	10226893	11405650	12098440	TRUE	simulated_interval
SimC_region_0366	SimD_region_0366	SimC	SimD	6	8	11908161	12471925	11502250	12046075	TRUE	simulated_interval
SimC_region_0367	SimD_region_0367	SimC	SimD	6	6	13815094	14492453	17038057	17866969	TRUE	simulated_interval
SimC_region_0368	SimD_region_0368	SimC	SimD	6	6	16283548	17410994	20061640	21437962	TRUE	simulated_interval
SimC_region_0369	SimD_region_0369	SimC	SimD	7	7	205363	1217132	376780	1609447	TRUE	simulated_interval
SimC_region_0370	SimD_region_0370	SimC	SimD	7	7	2316057	2924403	3078848	3821296	TRUE	simulated_interval
SimC_region_0371	SimD_region_0371	SimC	SimD	7	7	4626771	5535522	5537538	6647547	TRUE	simulated_interval
SimC_region_0372	SimD_region_0372	SimC	SimD	7	7	6336638	7142365	8114389	9105157	TRUE	simulated_interval
SimC_region_0373	SimD_region_0373	SimC	SimD	7	1	8244140	9251346	19907064	22223623	TRUE	simulated_interval
SimC_region_0374	SimD_region_0374	SimC	SimD	7	7	10652537	11360327	12785474	13651736	TRUE	simulated_interval
SimC_region_0375	SimD_region_0375	SimC	SimD	7	7	12460267	13168025	15489772	16355107	TRUE	simulated_interval
SimC_region_0376	SimD_region_0376	SimC	SimD	7	7	14569684	15477862	17703031	18812717	TRUE	simulated_interval
SimC_region_0377	SimD_region_0377	SimC	SimD	8	8	448109	1252453	333910	1312981	TRUE	simulated_interval
SimC_region_0378	SimD_region_0378	SimC	SimD	8	8	2311236	2758717	2720789	3264453	TRUE	simulated_interval
SimC_region_0379	SimD_region_0379	SimC	SimD	8	8	3903902	4708000	4665967	5649585	TRUE	simulated_interval
SimC_region_0380	SimD_region_0380	SimC	SimD	8	2	5853646	6657283	13423778	15318126	TRUE	simulated_interval
SimC_region_0381	SimD_region_0381	SimC	SimD	8	8	7449913	7897736	8895997	9444113	TRUE	simulated_interval
SimC_region_0382	SimD_region_0382	SimC	SimD	8	8	9047152	9758415	11062595	11937660	TRUE	simulated_interval
SimC_region_0383	SimD_region_0383	SimC	SimD	8	8	11084973	11973509	13556713	14648038	TRUE	simulated_interval
SimC_region_0384	SimD_region_0384	SimC	SimD	8	8	12678049	13302566	15620849	16382679	TRUE	simulated_interval
